DATE,S4248SM144NCEN
2/21/2023,30
2/20/2023,60
2/14/2023,0
2/10/2023,12
2/9/2023,0
2/6/2023,15
2/3/2023,27
2/2/2023,450
1/27/2023,30
1/23/2023,15
1/23/2023,0
1/20/2023,114
1/20/2023,60
1/17/2023,41
1/17/2023,0
1/16/2023,150
1/16/2023,22
1/16/2023,0
1/16/2023,0
1/15/2023,36
1/15/2023,12
1/15/2023,0
1/13/2023,60
1/12/2023,33
1/12/2023,30
1/11/2023,24
1/10/2023,18
1/10/2023,12
1/6/2023,12
1/5/2023,7
1/3/2023,18
12/10/2022,0
12/8/2022,75
12/7/2022,115
12/3/2022,180
12/3/2022,45
12/2/2022,30
11/30/2022,13
11/28/2022,60
11/25/2022,45
11/19/2022,30
11/9/2022,11
11/9/2022,8
11/7/2022,105
11/6/2022,0
11/4/2022,105
10/31/2022,7
10/27/2022,0
10/21/2022,9
10/14/2022,0
10/12/2022,750
10/12/2022,39
10/2/2022,18
9/19/2022,60
9/16/2022,57
9/9/2022,0
9/7/2022,15
8/31/2022,12
8/29/2022,90
8/22/2022,0
8/4/2022,24
8/3/2022,0
8/2/2022,30
8/1/2022,0
7/29/2022,300
7/28/2022,0
7/15/2022,30
7/12/2022,45
6/30/2022,51
6/29/2022,105
6/29/2022,12
6/28/2022,90
6/28/2022,0
6/27/2022,54
6/21/2022,0
6/20/2022,24
6/19/2022,57
6/18/2022,45
6/16/2022,12
6/14/2022,15
6/10/2022,75
6/7/2022,54
6/4/2022,12
6/2/2022,42
6/1/2022,30
5/30/2022,30
5/27/2022,43
5/27/2022,12
5/21/2022,180
5/19/2022,180
5/18/2022,127
5/5/2022,60
4/11/2022,45
4/7/2022,300
3/30/2022,105
3/26/2022,54
3/15/2022,90
2/24/2022,9
2/21/2022,45
7/26/2021,24
2/23/2021,60
2/22/2021,60
1/27/2021,540
1/6/2021,540
12/8/2020,180
10/10/2020,75
8/31/2020,105
7/27/2020,105
7/17/2020,36
7/10/2020,42
7/9/2020,12
6/29/2020,39
6/17/2020,12
6/16/2020,450
6/1/2020,105
5/28/2020,81
5/26/2020,180
5/25/2020,60
5/21/2020,21
5/20/2020,420
5/20/2020,30.3
5/19/2020,135
5/18/2020,330
5/18/2020,30
5/17/2020,75
5/15/2020,156
5/15/2020,150
5/4/2020,240
5/1/2020,0
4/21/2020,240
4/21/2020,150
4/17/2020,60
4/16/2020,18
4/15/2020,60
4/8/2020,60
4/2/2020,12
4/2/2020,1.8
4/2/2020,0
4/1/2020,13
3/30/2020,24
3/28/2020,75
3/26/2020,60
3/19/2020,36
